	r	theta	Er	Et
180	3.05	5.026548245743669	-0.43122574087454235	0.5119617372282881
181	3.05	5.089380098815465	-0.4923822357484231	0.46134299174939153
182	3.05	5.152211951887261	-0.5465491500254216	0.4034575682833881
183	3.05	5.215043804959057	-0.5928391008921863	0.3392177965818807
184	3.05	5.277875658030853	-0.6304911755454234	0.26963614667372654
185	3.05	5.340707511102649	-0.6588832237957887	0.19580924945461078
186	3.05	5.403539364174445	-0.6775420132580368	0.11890058730617267
187	3.05	5.46637121724624	-0.6861510979645224	0.040122127480551155
188	3.05	5.529203070318037	-0.6845562877764	-0.039284812139874
189	3.05	5.592034923389832	-0.6727686436849623	-0.11806916286130557
190	3.05	5.6548667764616285	-0.6509649611319124	-0.1949898605139034
191	3.05	5.717698629533424	-0.6194857378515806	-0.2688354427841399
192	3.05	5.7805304826052195	-0.5788306528075349	-0.3384431760921693
193	3.05	5.843362335677016	-0.529651605989585	-0.4027174050906425
194	3.05	5.906194188748811	-0.4727433832619321	-0.4606468280090148
195	3.05	5.969026041820608	-0.40903201567862424	-0.5113204161021847
196	3.05	6.031857894892403	-0.3395609003165784	-0.5539417159195805
197	3.05	6.094689747964199	-0.2654747454370071	-0.5878412997215773
198	3.05	6.157521601035995	-0.18800140656006104	-0.61248716260511
199	3.05	6.220353454107791	-0.10843170433900623	-0.6274929044823302
200	3.1	0.0	-0.027590141041119582	-0.6023707414020066
201	3.1	0.06283185307179587	0.04841082790524004	-0.5979411242281902
202	3.1	0.12566370614359174	0.12255483111970111	-0.5841237131851128
203	3.1	0.1884955592153876	0.19359289348319264	-0.5611334996238998
204	3.1	0.25132741228718347	0.26033315302580184	-0.5293273917145653
205	3.1	0.3141592653589793	0.32166509843596036	-0.489198588782009
206	3.1	0.3769911184307752	0.37658226875765477	-0.4413691223533542
207	3.1	0.4398229715025711	0.42420237148073303	-0.3865807537466545
208	3.1	0.5026548245743669	0.4637836873740553	-0.3256844135132709
209	3.1	0.5654866776461628	0.49473664546015983	-0.2596283292741391
210	3.1	0.6283185307179586	0.5166296361331868	-0.18944491664503268
211	3.1	0.6911503837897546	0.5291885371724525	-0.11623641640708689
212	3.1	0.7539822368615504	0.5322900698607225	-0.04115917528880485
213	3.1	0.8168140899333463	0.5259499329313289	0.0345935778766136
214	3.1	0.8796459430051422	0.5103075583669747	0.10981057742335142
215	3.1	0.942477796076938	0.48561010122965653	0.183282967100694
216	3.1	1.0053096491487339	0.45219867724081486	0.2538260762948168
217	3.1	1.0681415022205298	0.4104996688829565	0.3203019180442693
218	3.1	1.1309733552923256	0.36102299433826035	0.3816414444330983
219	3.1	1.1938052083641215	0.3043676070877521	0.43686532256156413
220	3.1	1.2566370614359172	0.24123243201708333	0.4851019214864941
221	3.1	1.3194689145077132	0.172428939037243	0.5256014171694315
222	3.1	1.3823007675795091	0.09889023511384931	0.5577454468858775
223	3.1	1.4451326206513049	0.02167149773404653	0.5810524883373682
224	3.1	1.5079644737231008	-0.05806193146273453	0.5951799038809068
225	3.1	1.5707963267948968	-0.1390596220591242	0.5999241148288058
226	3.1	1.6336281798666925	-0.22002166647660137	0.5952204212407488
227	3.1	1.6964600329384885	-0.2996392560739633	0.5811434664305967
228	3.1	1.7592918860102844	-0.3766333642060776	0.5579083921172113
229	3.1	1.8221237390820801	-0.44978567816119197	0.5258716871801067
230	3.1	1.884955592153876	-0.5179589576949017	0.4855300480793391
231	3.1	1.9477874452256718	-0.5801079061018988	0.437515588263262
232	3.1	2.0106192982974678	-0.6352847676142581	0.3825865054872469
233	3.1	2.0734511513692637	-0.6826448335124036	0.3216135165047779
234	3.1	2.1362830044410597	-0.7214554811270957	0.2555634279587601
235	3.1	2.199114857512855	-0.751109200850848	0.18548160580722842
236	3.1	2.261946710584651	-0.7711380457153783	0.11247466235710785
237	3.1	2.324778563656447	-0.781225683157718	0.03769370854355506
238	3.1	2.387610416728243	-0.7812142487871965	-0.037682363605820175
239	3.1	2.450442269800039	-0.7711055994014637	-0.11246436268638291
240	3.1	2.5132741228718345	-0.7510586603939018	-0.185471378157984
241	3.1	2.5761059759436304	-0.7213850731642024	-0.25555001373167674
242	3.1	2.6389378290154264	-0.6825442428687445	-0.3215933168763306
243	3.1	2.7017696820872223	-0.6351373018989903	-0.38255853077866664
244	3.1	2.7646015351590183	-0.5798987531150213	-0.437483307549889
245	3.1	2.8274333882308142	-0.5176850709479941	-0.48550048498657405
246	3.1	2.8902652413026098	-0.44946063478143616	-0.5258515869136752
247	3.1	2.9530970943744057	-0.37628200115101096	-0.5578989162628445
248	3.1	3.0159289474462017	-0.2992812684862664	-0.5811358312598656
249	3.1	3.0787608005179976	-0.2196486336849525	-0.5951948092347057
250	3.1	3.1415926535897936	-0.13861393924079307	-0.5998531525846433
251	3.1	3.204424506661589	-0.057427285176643306	-0.595036399757627
252	3.1	3.267256359733385	0.0226607994456568	-0.5808195017001714
253	3.1	3.330088212805181	0.10041904915772726	-0.557425709255753
254	3.1	3.392920065876977	0.17465468966166908	-0.5252230892183994
255	3.1	3.455751918948773	0.24423206751175375	-0.4847186955831478
256	3.1	3.518583772020569	0.3080904827471165	-0.4365505422306406
257	3.1	3.5814156250923643	0.3652608701079807	-0.3814775471000483
