	x	y	Ex	Ey
108	-6.707070707070707	-7.838383838383838	0.0	0.0
109	-6.545454545454545	-7.838383838383838	0.0	0.0
110	-6.383838383838384	-7.838383838383838	0.0	0.0
111	-6.222222222222222	-7.838383838383838	0.0	0.0
112	-6.0606060606060606	-7.838383838383838	0.0	0.0
113	-5.898989898989899	-7.838383838383838	0.0	0.0
114	-5.737373737373737	-7.838383838383838	0.0	0.0
115	-5.575757575757576	-7.838383838383838	0.0	0.0
116	-5.4141414141414135	-7.838383838383838	0.0	0.0
117	-5.252525252525253	-7.838383838383838	0.0	0.0
118	-5.090909090909091	-7.838383838383838	0.0	0.0
119	-4.929292929292929	-7.838383838383838	0.0	0.0
120	-4.767676767676767	-7.838383838383838	0.0	0.0
121	-4.6060606060606055	-7.838383838383838	0.0	0.0
